frame,n_e_cm3,n_e_err,stark_fwhm_nm,ha_redchi,sigma_tot_px,excess_px,excess_kms,T_all_thermal_eV,gam_C1_nm,gam_C1_err_nm,gam_C2_nm,gam_C2_err_nm,sig_C1,sig_C2,c_redchi
5,4068342003314147.5,60539511516487.54,0.1245291150961321,0.7285894020875331,10.050375331997673,7.3831139611083785,15.442720340676537,29.656370606809812,0.006826999760552886,0.006585357029817757,nan,0.012599985316085706,7.839097548667143,3.9015922408623323,0.5332004832903074
6,4109585745472015.0,51391218224158.055,0.12538594878961462,0.8405929304069313,6.8993693473050595,1.0495831740356574,2.1953364821798074,0.5993563496884846,0.007245308404337806,0.006133349701233466,nan,0.00895005583006424,8.464547371900093,6.349219045555332,0.6211492530299845
7,3694762508977808.5,34149889390564.746,0.11663632690332387,1.0319910610844736,7.182492038593595,2.255774663645838,4.718239142151446,2.768710262169294,0.0013137847300209306,0.0029377670978429915,0.0040745957405331455,0.003950984767431788,17.308274749316688,12.21620366695268,0.720607026970011
8,3421799395246722.0,30696325961441.21,0.11070683392503981,1.6787395738327417,7.211938024303233,2.3478452919809136,4.910816552233233,2.9992231084267074,0.0030505270271420264,0.0015744887435198698,0.0049546446739492335,0.0025092869478241524,31.739613953964557,19.69301501829107,0.7361756598868874
9,5003130659777132.0,62604320051606.766,0.1433291052258779,2.582608353092319,8.681151168607839,5.372402913120661,11.237062868294586,15.705170002904524,0.017308820985847826,0.003735232401724794,0.011929626624098995,0.004703059301401961,13.60348911853647,11.252730983360319,0.8516541240148756
10,1.3408559977028884e+16,317136756609282.6,0.2801484955299134,4.8364775261539785,10.113115609470906,7.468295306106355,15.620887939873253,30.34884671866984,0.021348088548358016,0.006257013664436004,0.0019050086918293667,0.00488410449522435,8.227872564592177,9.441486241622346,0.7851785991399332
11,2.710731597058045e+16,482939461808847.5,0.4520735338776405,2.0933182821362775,11.00286222195699,8.635004604750042,18.06120858407966,40.572631430571924,0.027952646205545686,0.005461155810625859,0.024522973262827315,0.007683138818325403,9.134753330988937,7.703332734236115,0.8464212480069315
12,2.9696571096568492e+16,575377101052052.9,0.48099769722215957,2.100044485167154,10.422912154762102,7.882729554828941,16.48772979499484,33.80995135688052,0.024756659393412803,0.0027547600338505393,0.012961290665259032,0.0026275470515648098,17.778192911056895,21.043999265041556,1.0738330289838
13,3.646792339632972e+16,690304782932449.0,0.5530765331966645,1.992633096846496,9.860235620690053,7.122118641542774,14.896815489213015,27.60025049605399,0.02150232720997153,0.0020901707755319973,0.010067081947557326,0.0018277118910600908,23.4969281119331,29.247564224136887,1.0476716682747176
14,3.010709997297781e+16,351292956467682.7,0.4855080582657718,1.388605746873026,8.189566707214453,4.535342357595677,9.48624442836858,11.191945739659182,0.01529478089137615,0.0015041520056837466,0.005960891613411475,0.0019436324535094225,32.8494254673011,26.040793477528855,0.6850197316027827
15,2.690508322222479e+16,211857762398122.72,0.44977801172632415,1.345385538315096,7.700540802036708,3.577520942289265,7.482839316270408,6.963790925978008,0.010202232174339004,0.0012532334163874975,0.0007183605200483045,0.001320146486056362,39.376741293688276,36.07463209807136,0.7201075193174388
16,2.2016650500202124e+16,154719999334933.28,0.39246261577892516,1.7284239393782515,7.304062464000218,2.6171847330104647,5.474174193256166,3.7268460756664457,0.007176647253158931,0.0016054127357474674,7.682333437966053e-12,0.0011487055037378187,31.11976615002533,27.395422081249343,0.9096406971743249
17,1.488532356891443e+16,98903107526263.72,0.3007706351499491,1.6829286554066256,6.9535975696877,1.3611930832372061,2.84710817479238,1.0080931433983364,0.005885415837888423,0.0020997401578929215,2.2715824635317184e-11,0.00898290693438736,24.132849069380867,19.04734429964594,0.6767426245639466
18,1.081369546766952e+16,64774874210013.516,0.24204082898035525,1.1005356261587254,nan,nan,nan,nan,nan,0.006531254292488348,3.381601968815291e-13,0.0003444754076355025,5.95375823557595,11.761073652994174,0.6364057513537572
19,1.0130496277805038e+16,60020902320616.195,0.2315370552529753,0.9748186984224403,7.011550054935311,1.6316131960576583,3.4127261780872287,1.4484003634031906,0.004228271391088217,0.003276312893219944,4.276679194821846e-10,0.0025749807854397256,15.56875661389373,13.752886728774287,0.7419395848688015
20,9218049071554362.0,62436037909021.33,0.2171470573124688,0.94833875472898,6.82075387436695,0.15169332014918802,0.3172858407648026,0.012490814147403384,0.0014459907648122095,0.002182752140997292,1.1358596762250488e-13,0.0008007014442129632,23.035411603736353,19.34740632408544,0.7242412327831557
21,8173479507327706.0,68857550636539.945,0.20009954677533512,1.0532089798623026,6.856863055026553,0.7189564688311737,1.5037887460175916,0.28104243984239385,0.0022439981818010457,0.0017916453087359894,2.102180835305924e-12,0.0019080233088499571,27.835975113878856,19.253664719153115,0.8327911279028805
22,8933967736169308.0,71574958791867.38,0.21257499796085214,1.0136292918093355,6.859963199917519,0.7479455547756942,1.5644231002387559,0.30436894596750363,0.0035228244818244275,0.0017146935528097218,6.588291734574222e-12,0.0017768340698920864,29.075907693248517,25.24286217130428,0.8247755002045942
23,9747063782500932.0,68660787491207.71,0.22554281371557577,1.0167131089197639,6.834755939158412,0.4628349560559412,0.9680780803210326,0.11650752513794327,0.0010515659752139404,0.0016751744555158657,9.225676406110402e-14,0.00011467061513383822,29.7595770103228,18.313679339213067,0.6890869262685969
